# Time	Temperature [K]	Pressure [Pa]
0.0602	2665.46	1.36789e+06
0.0603	2664.76	1.36789e+06
0.0604	2664.16	1.36789e+06
0.0605	2663.64	1.36789e+06
0.0606	2663.19	1.36789e+06
0.0607	2662.81	1.36789e+06
0.0608	2662.48	1.36789e+06
0.0609	2662.19	1.36789e+06
0.061	2661.95	1.36789e+06
0.0611	2661.75	1.36789e+06
0.0612	2661.57	1.36789e+06
0.0613	2661.42	1.36789e+06
0.0614	2661.29	1.36789e+06
0.0615	2661.18	1.36789e+06
0.0616	2661.09	1.36789e+06
0.0617	2661.01	1.36789e+06
0.0618	2660.94	1.36789e+06
0.0619	2660.89	1.36789e+06
0.062	2660.84	1.36789e+06
0.0621	2660.8	1.36789e+06
0.0622	2660.76	1.36789e+06
0.0623	2660.73	1.36789e+06
0.0624	2660.71	1.36789e+06
0.0625	2660.69	1.36789e+06
0.0626	2660.67	1.36789e+06
0.0627	2660.65	1.36789e+06
0.0628	2660.64	1.36789e+06
0.0629	2660.63	1.36789e+06
0.063	2660.62	1.36789e+06
0.0631	2660.61	1.36789e+06
0.0632	2660.6	1.36789e+06
0.0633	2660.6	1.36789e+06
0.0634	2660.59	1.36789e+06
0.0635	2660.59	1.36789e+06
0.0636	2660.59	1.36789e+06
0.0637	2660.58	1.36789e+06
0.0638	2660.58	1.36789e+06
0.0639	2660.58	1.36789e+06
0.064	2660.58	1.36789e+06
0.0641	2660.57	1.36789e+06
0.0642	2660.57	1.36789e+06
0.0643	2660.57	1.36789e+06
0.0644	2660.57	1.36789e+06
0.0645	2660.57	1.36789e+06
0.0646	2660.57	1.36789e+06
0.0647	2660.57	1.36789e+06
0.0648	2660.57	1.36789e+06
0.0649	2660.57	1.36789e+06
0.065	2660.57	1.36789e+06
0.0651	2660.57	1.36789e+06
0.0652	2660.57	1.36789e+06
0.0653	2660.57	1.36789e+06
0.0654	2660.57	1.36789e+06
0.0655	2660.57	1.36789e+06
0.0656	2660.57	1.36789e+06
0.0657	2660.57	1.36789e+06
0.0658	2660.57	1.36789e+06
0.0659	2660.57	1.36789e+06
0.066	2660.57	1.36789e+06
0.0661	2660.57	1.36789e+06
0.0662	2660.57	1.36789e+06
0.0663	2660.57	1.36789e+06
0.0664	2660.57	1.36789e+06
0.0665	2660.57	1.36789e+06
0.0666	2660.57	1.36789e+06
0.0667	2660.57	1.36789e+06
0.0668	2660.57	1.36789e+06
0.0669	2660.57	1.36789e+06
0.067	2660.57	1.36789e+06
0.0671	2660.57	1.36789e+06
0.0672	2660.57	1.36789e+06
0.0673	2660.57	1.36789e+06
0.0674	2660.57	1.36789e+06
0.0675	2660.57	1.36789e+06
0.0676	2660.57	1.36789e+06
0.0677	2660.57	1.36789e+06
0.0678	2660.57	1.36789e+06
0.0679	2660.57	1.36789e+06
